Año_22,Año_23,Año_24,Año_25,Año_26
139459055.75142103,100116892.99491587,98894543.34062406,105647348.322903,102323541.29479809
3619604873.5025587,3434943920.0214343,4274819033.4503093,5026709659.460448,5578350017.781741
284251601.0318738,330795553.8250467,454089640.53199166,840366077.2396258,538718067.4960034
1598296832.746217,1497941438.783813,1651317109.7999234,1866550876.4474082,1808162371.8802905
674833609.3146069,1074730134.8319623,1955209223.9307783,4022854647.2637978,2460921013.334117
132604987.37118343,258762217.63820034,65191680.084324956,213708603.61822507,86428025.35936145
263169.656604855,88755.98622136269,100742.08471614838,220702.56786404413,249576.09190488872
87247656.961187,104388423.68466534,139437485.15839282,253098634.870103,245251340.83563587
1226643500.8391044,1037215514.0710834,1337955268.3048246,1633151275.7343798,1460322824.41686
250909769.9348471,226353318.33887577,181984242.25127578,264520021.24476957,222977596.82226664
1127837388.0152597,1105811278.154464,1125018230.9466932,1301237035.9090497,1217062986.3229172
4375056114.106433,4002049646.948781,4144559882.7374315,3119830176.869688,5242346234.06583
1592688749.9700112,2681649426.4754205,4175044094.833524,1810122637.5416105,2558758338.9264235
63008979.713693134,59515553.462254114,28882589.501670703,68932453.7742895,116745811.62146896
3412145189.515514,3502040375.143281,3740673593.9862776,3664492496.2326136,1483610988.8734195
310386653.9459525,402388608.04489404,415561341.2050157,386430818.81062216,409690117.0232356
1090683943.4614797,731491122.7899431,1131921282.0634966,614771131.3650488,872633456.4104664
1974953851.8250284,1599607119.840137,1888196513.8484945,2578910151.0100145,3355217177.792972
699418565.2222435,231388546.65054464,393458111.7837118,229233242.86905307,503917335.66673946
3586690963.86372,3400358636.6667004,3060071503.641923,3227090335.423359,2833618955.156892
2836087465.3148904,2312694306.2121053,2758166632.2216883,2848249901.476719,2452047217.8959293
5660896476.404016,6071588448.14424,6476423823.363432,4663536072.09008,6084172804.180163
476814041.79596174,530132242.6438828,400190226.7830235,631550759.5723488,456373094.3225258
16671451032.566286,13406257417.046076,16670301453.562477,16640942912.934835,18595233565.180527
262864193.60699704,353939278.377612,227108859.16499585,353817477.2205821,315603802.79257774
3331318906.4802237,4117518611.8226805,4359755603.549713,4649539298.829493,4343543065.2653055
48614069630.63207,46022152013.71386,45992189102.57031,56055561616.825806,51911736942.15504
1187994087.7322888,1416874780.0695915,1568265469.413814,1885460649.9877493,1817779423.951258
264696399.9054049,174510561.5661689,248431665.02167028,324380933.44017553,195915527.13614568
7526554441.797779,8642910587.82488,8894482075.730764,10867299072.970427,9663817204.974297
1713491238.3927112,1918165862.4064555,1977216879.4521117,2200657233.1158867,2104699881.8453653
34396048024.717255,31748220302.884212,37206028675.25753,43531037171.33629,39026382437.08719
16783170074.383598,15323234886.971432,18098203866.50362,19271861654.160046,12647265169.900902
1431821583.224042,1239672736.7389364,1001976532.9531902,1134936647.1019073,991666331.426976
1102870459.7305603,903060340.3671217,1306766903.3011024,1105238719.097603,1074774589.3553827
7162959233.577425,4828891710.378957,5763942943.684431,5901205334.263993,6405702546.223885
13694945266.312891,13831066213.461336,15121248427.906101,20325543845.17957,19373359327.271908
88953926.03200442,45680284.73534404,61173220.50027583,31737809.415429592,85934886.78255887
1953647587.4718308,1830151643.424339,2302253446.847868,1149162507.0306754,1380244692.6020153
14760530250.064241,16259444572.73209,15615500132.427887,16460983496.560255,15671186240.71942
5564212225.602133,5161628028.437506,4898265080.865209,6669648971.477619,7813374349.415874
2118400779.7034712,1992451203.499127,2775441229.0615597,3058216877.37606,2350475762.6246905
1507494712.6593592,2176202676.283469,1907574120.13582,2067907506.762464,1830271441.375179
960128403.5213248,982164096.4746389,1112245512.5837824,1009459937.1938173,1013187313.2813528
95537300.43495816,142106570.98194975,117138828.50461318,57665650.866785794,112195122.7030048
45558841102.24465,49420686455.55253,52046437211.27301,69619363533.47935,54884000850.853096
5759039549.291727,3724573472.571819,6558108986.930102,6012239490.828366,3612749825.6811924
192034520.47578117,98474542.0167241,128346402.2206522,232268498.48308614,153272032.46273142
530530740.95759726,545053551.4662151,591207683.6202575,566865681.277405,475010265.59004104
307798609.5225287,284575329.77164906,208730833.850203,242105081.03860378,133726674.46004184
4677599183.350594,4170286290.409343,4441590775.683354,6032905253.175982,6166271689.927362
1208163827.4469473,1302660078.9595752,1307175433.637871,2022361452.918666,1245441215.1472
1096963589.564356,1122459101.8633332,1440249610.3608234,1435192063.4631014,1466805852.4681714
7780546343.732287,5723418511.739106,6867020888.415935,12881250597.313921,4854895326.994926
1121585860.503467,1019293321.0290953,1403480578.7500472,1784092628.7365434,1501668275.3554833
4651895.159027503,3881569.6773143765,8422587.314473037,4788734.77540617,7048510.717247097
1624862563.0714731,3366181090.531934,4745027316.707659,6092161017.429576,3797392263.88441
6463700191.3939,6070713191.395062,6862812362.030377,6887433694.332474,5955053259.795822
1646375687.849279,1592867083.518202,1296318736.9160056,1411356138.8927004,1396785040.554825
3118905060.534232,2831885149.8417764,3624601573.0594196,4109508060.0127926,2920578957.9279966
35270466825.85554,32483658390.760536,30981889511.24016,31959037651.25776,35240150003.69113
1393695378.7768073,1547852675.7194817,1502736885.6369064,1298919946.9954822,1781357130.3316727
2318763295.164514,2267445919.8151083,2594148378.89117,2422648439.7295046,2705822901.9128942
866901028.531129,597197780.3133708,908805328.1909721,1132384375.7264864,1127318104.8317606
244822909.78562516,341572329.7993994,532993305.26756215,484703866.67381454,604687481.9983909
639867884.2333392,578512256.1878868,1052853255.7310733,688871455.0020862,584525207.8229148
74321614.93610376,56380919.89499871,72572570.19587354,77946268.07661498,95629509.56339069
161001854.6879131,176915139.741402,278551594.870468,193698559.11498982,219022954.25163433
1146223829.523956,1303718225.9119122,1317298729.5275862,1722094763.7224722,1165090845.672153
850979261.1254078,612544183.32029,549942506.820628,534614760.3148649,837790617.2991339
146159998.9350057,157316648.92429164,197057175.00839484,182639745.99861917,183828020.12124154
3973043.7896407726,6196945.123329731,7502618.655588318,9963152.112299766,33811831.187336855
14804137599.100872,16509086654.784832,17584012126.030445,19381550460.19302,18470531923.835873
455786.02694199735,1524982.1914253405,1153557.6268230765,1049572.173754313,1736816.7710622381
42150598.41646579,42667366.33971475,34214857.51442411,58266596.80935475,42719342.25061654
743902211.0795237,776377022.5763147,838876816.7551237,998637539.0490719,924437869.8237972
49448522.86137847,57576641.75387259,61036773.90216634,81599959.04858482,65029385.01184199
46273234.10498908,58435018.83221465,70705431.95747018,94085688.41635992,114558781.17526802
122938858.53554776,142487651.78233537,175614658.52010658,155862039.98086673,232436737.74261448
65558181.55435155,115532668.55735801,105813582.05511004,147239664.73204124,136092451.3619865
292915069.63349605,244961731.47849524,299732687.5380708,251913442.19377363,233026844.47543022
216539215.8959761,246684117.10886076,301190682.4489446,425256361.08003646,549730463.0564599
1924729541.205632,1909722950.579019,1856724752.8361576,1407471939.018053,1601438912.900775
1258327404.5862737,1308865860.5472662,1822686922.2775855,1817876097.0098164,2059535221.4055262
5960300145.736992,6087756619.889367,8022302688.645378,8932257315.472391,8394672135.507582
11667963.159592213,8705909.89345469,14002250.260729816,19813631.32421579,32808616.03008745
-1689091.4502105638,172878219.02241465,85030489.10511285,35617139.17257065,16530010.948670223
91094.33873332466,487318.5786911237,623545.5173457696,410622.46808481275,257600.4384652613
443316909.90262467,533208627.9733761,839236804.7120466,915739624.3360745,533876200.1318008
1387602605.258361,1514649569.2196805,1780012950.4857244,1601601386.7875342,1466945900.7376804
1179148730.1749632,1176815172.4313216,1327701716.6048205,1359543411.3627534,1287578071.184859
5285499.759629792,4869234.587057208,4776730.782178936,9403208.932676533,8164250.859924376
1337897183.5436647,1181052472.90691,1865604834.2839408,2519221536.5474424,2469082008.183542
-63903942.600067124,15127165.132748138,56795116.88885726,19886650.319782402,-7437564.472859323
201275409.6228162,239506715.98341233,412930680.4894561,378762359.68247974,298975469.6241038
31879513.522155177,62620625.23521084,889651.8514484614,27530908.196332358,41829422.85254748
135768858.92031163,155586031.0414439,220723550.88766438,204725894.97113758,280866559.7099297
807052902.3934743,602542492.4969281,776915551.180338,697624118.3451053,786483591.1586478
26068048.57723037,29576323.27651498,18561394.463608272,12453103.134877387,12425375.229002666
22972416.978477903,23569777.328675896,50075019.36528446,81456323.84940517,51894402.838316366
10698239.498237778,9115082.178018114,7598342.502411161,15162205.271822898,19375338.06184795
1145639.7210403234,20931504.736347698,15707570.161946047,14595558.06412509,17451578.253238477
511234605.9933987,923785045.5576622,681213399.6858778,715424775.9103553,1531865772.7358987
527711003.20952183,510449962.9236152,514312613.85286784,590368689.5013787,599836930.3844981
-494373.5559337605,11145899.873984013,7011115.436690546,1693351.3215936944,6092773.705931012
3422377895.2774143,2733507994.70175,3040370695.0453334,3224874742.9773006,2603140123.7185817
38264348.3705156,82311239.35263512,-4451301.444546357,73930364.44788413,95373882.66742113
998809515.294362,1018213321.9855651,1188001709.7758954,1049369760.8558745,1072316268.4581704
262393619.9934429,276630227.40660423,354655626.72381234,529086459.5927919,408319591.96840566
796390294.8474666,1019904364.8596175,1129434702.31242,1632896945.7713118,2648580734.996209
587143411.3294827,664606387.2017144,938727619.4409366,575117010.8654001,940789452.2656024
85587362.78079037,149729313.13922438,186915365.9784735,323974963.21754766,245364600.27051
382516405.354828,341139317.0868122,305035070.37177163,271737965.51378417,379165698.27775335
9914369494.666504,8517854223.590935,10155220802.455305,12269089463.174078,11168587349.74375
